case,generation,method,created_at,R_mm,alphaRin,alphaL0,L1_mm,alphaL2,alphaL3,theta0_deg,theta1_deg,alphaTheta2,alphat,U_mps,Rin_mm,L0_mm,L2_mm,L3_mm,L4_mm,t_mm,theta2_deg,Qaerosol_lpm,Qsheath_lpm,R1_mm,R2_mm,R3_mm,l1_mm,l2_mm,l1x_mm,l1y_mm,l2x_mm,l2y_mm,completed_at,objective_version,evaluation_status,score,n_outlet,n_substrate,n_target,n_substrate_overspray,n_wall_deposition,n_wall_upper,n_wall_down,n_wall_cavity,n_overspray,n_resolved,total_particles,target_center_x_m,target_center_z_m,target_diameter_um,target_radius_um,target_fraction,target_precision,substrate_fraction,substrate_resolved_fraction,substrate_overspray_fraction,wall_deposition_fraction,overspray_fraction,outlet_fraction,resolved_ratio,unresolved_fraction,deposit_centroid_x_mm,deposit_centroid_z_mm,deposit_rms_radius_mm,deposit_r90_radius_mm,deposit_footprint_area90_mm2,deposit_density_per_mm2,deposition_spread_score,deposition_particle_support,deposition_compactness,target_particle_support,targeted_deposition_compactness,target_rms_radius_um,target_r90_radius_um,target_centered_spread_score,target_centered_particle_support,target_centered_compactness,resolved_constraint,wall_constraint,objective_primary_score,objective_secondary_raw,objective_secondary_score,objective_tie_break_scale,source_objective_version,source_score,mesh_nodes,mesh_elements,max_u_mps,potential_failed,simple_failed,unclean_end,velocity_rejected,velocity_check_failed,mesh_rejected,run_finished,aerosol_mean_velocity_mps,aerosol_flow_fraction,Rin_over_R,R1_over_R,L2_over_R,t_over_R,host,failed,failure_class,potential_SIGFPE,last_iteration,first_continuity_gt_1e3,first_continuity_gt_1e12,max_log10_continuity,last_local_continuity,last_global_continuity,last_cumulative_continuity,simple_end,simple_sigfpe,turbulence_divide_sigfpe
case_1259,602,qlognehvi,2026-07-26T23:15:16,0.6519826552059382,0.6511448855341279,2.4895298605753857,7.079897762342217,3.175940755691032,0.5047732280465047,50.51384614697139,34.88308448196433,0.8656709136705807,2.5511901767320695,43.33825257685456,6.019714273466605,1.6231302887124093,29.36098604696112,1.6067028823317249,30.098571367333026,1.6633317453610814,31.54056247844431,1.9859208624337095,1.4865979241315708,9.244815412362016,12.001453448780993,20.034967860439615,4.820108646995175,8.341280331581938,2.7566380364189773,3.9540351673961855,4.363340918750702,7.1090233926181075,2026-07-26T23:41:48,central_target_d10um_mobo_v1,complete,0.049,477,503,49,454,0,0,0,0,454,980,1000,0.0,0.0,10.0,5.0,0.049,0.09741550695825049,0.503,0.513265306122449,0.454,0.0,0.454,0.477,0.98,0.02,0.25306787537375747,7.432109674035786e-06,0.26664020425051543,0.3941351277933569,0.4880228535251705,1030.6894367069985,0.623240198954134,1.0,0.623240198954134,1.0,0.623240198954134,367.61440141020114,647.2030025361568,0.007666324718771608,1.0,0.007666324718771608,-0.030000000000000027,-0.05,0.049,0.0,0.0,0.0,,,51242,78586,57.8161,True,False,False,False,False,False,True,0.29074286071437067,0.571896362409032,9.232936222153318,14.179541953369766,45.03338518673787,2.5511901767320695,xeon6,False,complete,True,,,,,,,,,,
case_1260,602,qlognehvi,2026-07-26T23:15:16,0.8660463151281435,0.34189981599169394,3.9861280206066554,5.394293955702265,3.910463875693356,0.4771220144260455,30.01397264529451,39.7431331886734,0.9821516833101344,3.381797561466407,48.91172909086165,1.3615126364589936,3.4521714838754343,15.572239972490243,1.3245425183637596,6.807563182294968,2.928793316617323,39.2122683281731,1.2037933742635318,5.711273356124083,3.982197628594424,6.522723900434279,13.145436492253078,3.9736275550912787,6.113726677123471,2.5405262718398554,3.0553955895550056,3.865068790203615,4.736971303434839,2026-07-26T23:41:48,central_target_d10um_mobo_v1,complete,0.001,404,596,1,595,0,0,0,0,595,1000,1000,0.0,0.0,10.0,5.0,0.001,0.0016778523489932886,0.596,0.596,0.595,0.0,0.595,0.404,1.0,0.0,0.4039500912751679,6.622793897132554e-06,0.43528073454805766,0.7372649090511038,1.7076426768733268,349.01915258481876,0.5401610754465229,1.0,0.5401610754465229,0.05,0.027008053772326148,593.8391989030148,1141.2150003164415,0.004362183358811065,0.05,0.00021810916794055325,-0.050000000000000044,-0.05,0.001,0.0,0.0,0.0,,,56712,85645,58.7646,True,False,False,False,False,False,True,3.4451447406228515,0.17408268368164465,1.5721014138343619,4.598134717547067,17.98083970853928,3.381797561466407,xeon1,False,complete,True,,,,,,,,,,
case_1263,602,qlognehvi,2026-07-26T23:15:16,0.5597492997682605,0.4287130877191965,3.9946091085520696,7.77533199466471,2.2152328997701627,0.20893255784422848,41.61327075882441,56.498966576225534,0.36655008054788496,0.7448853020912666,47.180364353600915,3.2008719060837634,2.235979651359936,16.5394455112859,2.7920535962226496,16.004359530418817,0.41694902625325564,27.04419994390888,0.6467426666147577,2.1396962781809714,7.466233240307112,14.45091157873809,28.411179559851334,8.37616078866795,21.502553461230374,6.984678338430978,4.623238915119092,9.776731934653627,19.15137901120946,2026-07-26T23:44:16,central_target_d10um_mobo_v1,complete,0.01,264,727,10,717,0,0,0,0,717,991,1000,0.0,0.0,10.0,5.0,0.01,0.013755158184319119,0.727,0.7336024217961655,0.717,0.0,0.717,0.264,0.991,0.009,0.2789479576547457,1.583331269058598e-05,0.2676804318198375,0.41523604335603703,0.5416764580237435,1342.1295853476672,0.5741104763427197,1.0,0.5741104763427197,0.5,0.28705523817135986,386.6067471083532,694.1840012079482,0.007151193378798326,0.5,0.003575596689399163,-0.041000000000000036,-0.05,0.01,0.0,0.0,0.0,,,44137,86411,61.7929,True,False,False,False,False,False,True,0.3348835389309428,0.2321036561101358,5.718402698152446,13.338530737596592,29.547952124519547,0.7448853020912666,xeon6,False,complete,True,,,,,,,,,,
case_1273,603,qlognehvi,2026-07-26T23:18:18,0.556377921206015,0.32013211938140657,4.408015028379193,8.539927473820297,1.9066072314453113,0.3288575261299663,28.55135819241343,28.81082220135002,0.9389465974354487,2.8291255921762257,35.77143586170447,1.6656783604624064,2.4525222381344887,9.920261713995467,2.0318267195626305,8.328391802312032,1.5740630158057447,27.6623575009208,0.2926303277790123,1.794633136076245,5.20309665797049,8.140625488118454,18.299759085931605,6.0954801586878915,10.70381429413016,2.937528830147964,5.340955227017663,4.969355549710595,9.48035578782704,2026-07-26T23:44:16,central_target_d10um_mobo_v1,complete,0.009,0,742,9,733,0,0,0,0,733,742,1000,0.0,0.0,10.0,5.0,0.009,0.012129380053908356,0.742,1.0,0.733,0.0,0.733,0.0,0.742,0.258,0.2868377569118599,1.5091194937414289e-05,0.26257344055854526,0.4050734433223924,0.5154866424422577,1439.416541395862,0.578685455898145,1.0,0.578685455898145,0.45,0.2604084551541653,388.8710720852391,691.9112005668931,0.007174515197822646,0.45,0.0032285318390201908,0.20799999999999996,-0.05,0.009,0.0,0.0,0.0,,,52936,82811,44.8506,True,False,False,False,False,False,True,0.5595461647579697,0.14019807889441643,2.993789467511312,9.351731008110749,17.830077966595304,2.8291255921762257,xeon4,False,complete,True,,,,,,,,,,
case_1268,603,qlognehvi,2026-07-26T23:18:18,0.7044063368355348,0.6375727602792947,1.598702364175852,11.125114658841149,2.5243864488998096,0.5525621612189453,29.548933521549227,11.787281092352716,0.19267267130770627,2.469866618432078,48.39591895437174,4.470177067895559,1.126136076039421,17.69908490041979,1.2420930312124066,22.350885339477795,1.7397896971621096,10.344360222441352,2.5225098149815395,2.0039260610310756,7.011242239924673,7.7724418796105645,13.982907035672596,3.7262790936372197,11.156432250120334,0.7611996396858913,3.6477021523446633,2.003292670898298,10.975099044029179,2026-07-26T23:46:44,central_target_d10um_mobo_v1,complete,0.0,497,503,0,503,0,0,0,0,503,1000,1000,0.0,0.0,10.0,5.0,0.0,0.0,0.503,0.503,0.503,0.0,0.503,0.497,1.0,0.0,0.32242459337972135,6.154075575009935e-06,0.29417457605904923,0.4831300066249934,0.7332936029724619,685.9462539439194,0.5931661297900717,1.0,0.5931661297900717,0.0,0.0,436.4588178207342,805.5546000425043,0.006168615907846069,0.0,0.0,-0.050000000000000044,-0.05,0.0,0.0,0.0,0.0,,,50513,79106,58.5619,True,False,False,False,False,False,True,0.6697030689056959,0.5572838948960535,6.346020519885327,9.953405972214673,25.126243156657157,2.469866618432078,xeon1,False,complete,True,,,,,,,,,,
case_1266,602,qlognehvi,2026-07-26T23:15:16,0.7959405118117493,0.6897063033902121,1.7055318975259897,12.957508913707205,1.0731551822708427,0.5718115955861435,24.063175963292345,30.135562433316785,0.8959581769149757,3.0452579962948865,38.74645676714847,4.539731764387186,1.3575019314281003,7.063639472518127,1.018151461363036,22.69865882193593,2.423844208169774,28.040621808912178,2.891747198679834,1.7351977997825991,6.582123060311893,8.115604626608345,13.206361933423526,3.054454384089108,5.427881129649246,1.533481566296451,2.6416142546386587,2.551633027659487,4.790726714159311,2026-07-26T23:47:58,central_target_d10um_mobo_v1,complete,0.0,555,445,0,445,0,0,0,0,445,1000,1000,0.0,0.0,10.0,5.0,0.0,0.0,0.445,0.445,0.445,0.0,0.445,0.555,1.0,0.0,0.36394503101123593,3.6353312515415722e-06,0.25342185011907253,0.37536916903638345,0.44265672911493814,1005.2936524646244,0.679530379391569,1.0,0.679530379391569,0.0,0.0,443.4846330243686,739.3142000624595,0.006717593187904279,0.0,0.0,-0.050000000000000044,-0.05,0.0,0.0,0.0,0.0,,,54619,82282,45.7728,True,False,False,False,False,False,True,0.7443870597917792,0.6249798084137119,5.703606861339022,8.269616840245286,8.87458216750346,3.0452579962948865,xeon5,False,complete,True,,,,,,,,,,
case_1267,603,qlognehvi,2026-07-26T23:18:18,0.6921666178380934,0.5509375990295882,1.9984072426138209,8.55291768719579,0.7276978884944955,0.365431869551217,36.71749474439768,33.641644605013866,0.47305505166078743,3.0187631471456733,47.95745337217246,3.895888244317398,1.3832307821831586,5.145827139396311,1.7459285982751243,19.479441221586992,2.0894870776140992,21.18379940997081,1.7851925342417656,2.545711259564377,7.071378412327544,9.973094980272377,18.702737971648,5.237785794825372,12.861504057421152,2.9017165679448333,4.360555124269032,4.647645166219958,11.992400970113241,2026-07-26T23:49:14,central_target_d10um_mobo_v1,complete,0.005,452,548,5,543,0,0,0,0,543,1000,1000,0.0,0.0,10.0,5.0,0.005,0.009124087591240875,0.548,0.548,0.543,0.0,0.543,0.452,1.0,0.0,0.3045122169708027,8.2086094600511e-06,0.33204146647545313,0.5642970831168779,1.0003811123552595,547.7912299941464,0.5508846911470776,1.0,0.5508846911470776,0.25,0.1377211727867694,450.5321584648804,868.8093001650053,0.005722072309205026,0.25,0.0014305180773012565,-0.050000000000000044,-0.05,0.005,0.0,0.0,0.0,,,56148,90078,60.361,True,False,False,False,False,False,True,0.6239804141752365,0.41219861239930217,5.628541082327516,10.216295079953754,7.4343763579190485,3.0187631471456733,xeon6,False,complete,True,,,,,,,,,,
case_1274,603,qlognehvi,2026-07-26T23:18:18,0.5381770943231375,0.35553601180600536,4.777309183870766,8.764704769342181,2.2013587683894844,0.17004039027230844,22.181120016824327,31.16079314700059,0.9169733287659325,2.838387217932885,47.07376228273628,1.4618283353073038,2.5710383752588086,9.051146766997011,1.539299338794421,7.30914167653652,1.5275549855110542,29.403882931332465,0.4419860497740836,2.1279981426254646,4.111618195528772,6.501110604738669,14.197607298710771,4.617898016383263,8.002218887617444,2.389492409209897,3.9516209479205817,3.9287917480043175,6.971377376541493,2026-07-26T23:49:14,central_target_d10um_mobo_v1,complete,0.004,0,752,4,748,0,0,0,0,748,752,1000,0.0,0.0,10.0,5.0,0.004,0.005319148936170213,0.752,1.0,0.748,0.0,0.748,0.0,0.752,0.248,0.28674919220345724,1.5336572431147615e-05,0.2709172641504937,0.4201954078822911,0.5546927333052346,1355.7055191963218,0.5615531466988798,1.0,0.5615531466988798,0.2,0.11231062933977597,394.48861007554353,706.944600033255,0.007023018363741293,0.2,0.0014046036727482587,0.19799999999999995,-0.05,0.004,0.0,0.0,0.0,,,52923,80862,57.3639,True,False,False,False,False,False,True,1.0972729863977762,0.17198006551215755,2.716258924296727,7.639898165305478,16.81815681579795,2.838387217932885,xeon5,False,complete,True,,,,,,,,,,
case_1265,602,qlognehvi,2026-07-26T23:15:16,0.5020321631655309,0.32214197530206784,4.168083116445022,3.2489407990693646,1.7528165842436068,0.3944968147740978,44.013697064406806,42.516824423486774,0.20782716853920913,4.3151436946754895,35.38054677210903,1.1729186620642862,2.092511783202622,6.382003714068325,1.2834242335487618,5.864593310321431,2.166340923408037,16.757879549819858,0.2548261879166684,1.4260229910611741,3.640999161827506,6.243039148764499,12.660160316508307,3.8502727006462854,13.475849841661441,2.6020399869369926,2.837954857943124,3.8854642204857543,12.903553647981308,2026-07-26T23:50:31,central_target_d10um_mobo_v1,complete,0.018,0,700,18,682,79,79,0,0,682,779,1000,0.0,0.0,10.0,5.0,0.018,0.025714285714285714,0.7,0.8985879332477535,0.682,0.079,0.682,0.0,0.779,0.221,0.2422825279985715,1.4335324986479335e-05,0.2398981301221765,0.3663944724357799,0.421742821251807,1659.7792890043195,0.5780939259398887,1.0,0.5780939259398887,0.9,0.5202845333458999,340.95738210954875,608.677000823682,0.008147608584465381,0.9,0.007332847726018843,0.17099999999999993,0.028999999999999998,0.018,0.0,0.0,0.0,,,71173,112320,46.7169,True,False,False,False,False,False,True,0.9826687421416904,0.1516056235763123,2.336341669164231,7.252521708707714,12.712340328609661,4.3151436946754895,xeon4,False,complete,True,,,,,,,,,,
case_1269,603,qlognehvi,2026-07-26T23:18:18,0.8010692447467067,0.314270565105778,3.7390278374796506,6.157183432009388,2.428263153449468,0.39000250656153557,31.119374807961712,23.470293341051573,0.581935153260441,4.297661810233694,49.61415712282715,1.419924718933376,2.995220205856736,10.97128162320098,1.6699208123191083,7.0996235946668795,3.4427247005006696,17.838837219887942,0.8451048917686277,5.156216112688009,4.518160071578622,6.513415886657246,14.863019948252788,5.009762436957325,11.964383256830372,1.995255815078624,4.595288228951861,3.665176627397732,11.38915918785493,2026-07-26T23:50:31,central_target_d10um_mobo_v1,complete,0.045,328,664,45,619,8,8,0,0,619,1000,1000,0.0,0.0,10.0,5.0,0.045,0.0677710843373494,0.664,0.664,0.619,0.008,0.619,0.328,1.0,0.0,0.39019953719713846,9.149382347688251e-06,0.40818212883749816,0.6526824630781588,1.3383008700012695,496.1515118789171,0.5510358064825828,1.0,0.5510358064825828,1.0,0.5510358064825828,564.6842739220601,1042.8820002793846,0.0047715296175207785,1.0,0.0047715296175207785,-0.050000000000000044,-0.042,0.045,0.0,0.0,0.0,,,70512,110603,60.1248,True,False,False,False,False,False,True,2.2237136044266332,0.14081981136170602,1.772536804084081,5.64016169789072,13.695796830485026,4.297661810233694,xeon4,False,complete,True,,,,,,,,,,
